E	Sunny	MCX bridge	MCX native	exact
-8.0	-0.03423309326171875	-0.03668212890625	-0.04725456237792969	-0.040248798109871586
-4.0	-0.0022029876708984375	-0.009389877319335938	-0.018045425415039062	-0.010062842335798905
0.0	0.0	0.0	0.0	0.0
4.0	-0.010568618774414062	-0.0065898895263671875	-0.010021209716796875	-0.010062842335798905
8.0	-0.04060935974121094	-0.035282135009765625	-0.040355682373046875	-0.040248798109871586
12.0	-0.09308242797851562	-0.087066650390625	-0.08792686462402344	-0.09055015863555127
16.0	-0.1619873046875	-0.15575027465820312	-0.15612030029296875	-0.1609540927817079
20.0	-0.24788284301757812	-0.24825096130371094	-0.2446117401123047	-0.25144267188767344
24.0	-0.36285400390625	-0.36180877685546875	-0.3563880920410156	-0.36199290443312293
28.0	-0.4938678741455078	-0.4909934997558594	-0.4859657287597656	-0.49257678025594487
32.0	-0.6415176391601562	-0.6410789489746094	-0.6375846862792969	-0.6431613240563934
36.0	-0.8072052001953125	-0.8147335052490234	-0.8105087280273438	-0.8137086578722119
40.0	-0.9978771209716797	-0.9997730255126953	-1.0035324096679688	-1.0041760721634887
44.0	-1.1980934143066406	-1.2175674438476562	-1.219442367553711	-1.2145161050999036
48.0	-1.4290904998779297	-1.45501708984375	-1.450674057006836	-1.4446766296043165
52.0	-1.680135726928711	-1.7084732055664062	-1.701131820678711	-1.6946009476725408
56.0	-1.9525833129882812	-1.9749183654785156	-1.9681739807128906	-1.9642278914585063
60.0	-2.2426815032958984	-2.2636775970458984	-2.257709503173828	-2.2534919305902577
64.0	-2.5529613494873047	-2.5711917877197266	-2.5596275329589844	-2.5623232851634725
68.0	-2.8873043060302734	-2.8966140747070312	-2.885042190551758	-2.89064804384509
72.0	-3.238056182861328	-3.2462196350097656	-3.239206314086914	-3.2383882865120768
76.0	-3.6036853790283203	-3.6171875	-3.606464385986328	-3.605462210845644
80.0	-3.989370346069336	-4.0029754638671875	-3.9966087341308594	-3.9917842623040656
84.0	-4.390718460083008	-4.415048599243164	-4.397281646728516	-4.397265266903389
88.0	-4.819440841674805	-4.841728210449219	-4.825719833374023	-4.82181256624375
92.0	-5.2706146240234375	-5.28553581237793	-5.271244049072266	-5.265330154235755
96.0	-5.729894638061523	-5.743953704833984	-5.738298416137695	-5.7277188149968765
100.0	-6.2099151611328125	-6.22535514831543	-6.2205352783203125	-6.208876261409671
104.0	-6.708654403686523	-6.727291107177734	-6.726907730102539	-6.7086972738559325
108.0	-7.227174758911133	-7.242773056030273	-7.244958877563477	-7.2270738386674225
112.0	-7.766416549682617	-7.777713775634766	-7.787466049194336	-7.763895285859405
116.0	-8.321182250976562	-8.329017639160156	-8.343891143798828	-8.319048425743517
120.0	-8.892129898071289	-8.901458740234375	-8.915140151977539	-8.892417684044858
124.0	-9.483333587646484	-9.496639251708984	-9.504781723022461	-9.483885235177524
128.0	-10.088478088378906	-10.10269546508789	-10.115663528442383	-10.093331133365666
132.0	-10.712507247924805	-10.729312896728516	-10.738636016845703	-10.720633441324082
136.0	-11.36142349243164	-11.372110366821289	-11.381488800048828	-11.365668356245465
140.0	-12.021631240844727	-12.04057502746582	-12.039892196655273	-12.028310332867818
144.0	-12.70231819152832	-12.717483520507812	-12.715042114257812	-12.708432203426412
148.0	-13.399192810058594	-13.412164688110352	-13.420839309692383	-13.405905294320178
152.0	-14.11018180847168	-14.131336212158203	-14.132062911987305	-14.120599539351247
156.0	-14.841562271118164	-14.866504669189453	-14.86220932006836	-14.852383589417798
160.0	-15.595802307128906	-15.611892700195312	-15.60224723815918	-15.601124918568132
164.0	-16.358535766601562	-16.38062858581543	-16.354679107666016	-16.36668992634293
168.0	-17.1422061920166	-17.16151237487793	-17.134626388549805	-17.148944036355147
